
2023/09/01 (14:50:36) | ===> btop++ v.1.2.3
2023/09/01 (14:50:36) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2023/09/01 (14:50:52) | ===> btop++ v.1.2.3
2023/09/01 (14:50:52) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/01/13 (20:56:53) | ===> btop++ v.1.3.0
2024/01/13 (20:56:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/01/13 (20:56:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/01/13 (20:56:54) | WARNING: ROCm SMI: Failed to get device name
2024/01/13 (20:56:54) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/01/13 (20:56:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/01/13 (20:56:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/01/13 (20:56:54) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/01/13 (20:56:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/01/25 (09:33:48) | ===> btop++ v.1.3.0
2024/01/25 (09:33:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/01/25 (09:33:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/01/25 (09:33:49) | WARNING: ROCm SMI: Failed to get device name
2024/01/25 (09:33:49) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/01/25 (09:33:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/01/25 (09:33:49) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/01/25 (09:33:49) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/01/25 (09:33:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/01/25 (09:55:32) | ===> btop++ v.1.3.0
2024/01/25 (09:55:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/01/25 (09:55:32) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/01/25 (09:55:33) | WARNING: ROCm SMI: Failed to get device name
2024/01/25 (09:55:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/01/25 (09:55:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/01/25 (09:55:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/01/25 (09:55:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/01/25 (09:55:33) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/01/25 (09:55:39) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/01/25 (09:55:43) | ===> btop++ v.1.3.0
2024/01/25 (09:55:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/01/25 (09:55:43) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/01/25 (09:55:44) | WARNING: ROCm SMI: Failed to get device name
2024/01/25 (09:55:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/01/25 (09:55:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/01/25 (09:55:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
